2,10,gi|13272556|gb|AF346963.1|,gi|13273270|gb|AF347014.1|,0.002359077
2,11
2,12
2,13,gi|13272556|gb|AF346963.1|,gi|643679|dbj|D38113.1|CHPMTB,0.08510843
3,4,gi|13272836|gb|AF346983.1|,gi|13273130|gb|AF347004.1|,0.001994848
3,5,gi|13272836|gb|AF346983.1|,gi|119394815|gb|EF060354.1|,0.00260138
3,6,gi|13272836|gb|AF346983.1|,gi|32348589|gb|AY289094.1|,0.002237184
3,7
3,8,gi|13272836|gb|AF346983.1|,gi|13272878|gb|AF346986.1|,0.004789435
3,9
3,10
3,11
3,12
3,13,gi|13272836|gb|AF346983.1|,gi|643679|dbj|D38113.1|CHPMTB,0.085094323
4,5
4,6,gi|13273130|gb|AF347004.1|,gi|32348589|gb|AY289094.1|,0.002176326
4,7
4,8,gi|13273130|gb|AF347004.1|,gi|13272878|gb|AF346986.1|,0.004910389
4,9
4,10,gi|13273130|gb|AF347004.1|,gi|13273270|gb|AF347014.1|,0.00260119
4,11
4,12
4,13,gi|13273130|gb|AF347004.1|,gi|643679|dbj|D38113.1|CHPMTB,0.08489588
5,6,gi|119394815|gb|EF060354.1|,gi|32348589|gb|AY289094.1|,0.002843539
5,7,gi|119394815|gb|EF060354.1|,gi|13272738|gb|AF346976.1|,0.003329926
5,8,gi|119394815|gb|EF060354.1|,gi|13272878|gb|AF346986.1|,0.004667618
5,9,gi|119394815|gb|EF060354.1|,gi|48596203|gb|AY195783.2|,0.004850091
5,10,gi|119394815|gb|EF060354.1|,gi|13273270|gb|AF347014.1|,0.002601662
5,11,gi|119394815|gb|EF060354.1|,gi|13273074|gb|AF347000.1|,0.002965436
5,12,gi|119394815|gb|EF060354.1|,gi|253947317|emb|FM865409.1|,0.012085943
5,13,gi|119394815|gb|EF060354.1|,gi|643679|dbj|D38113.1|CHPMTB,0.085031071
6,7,gi|32348589|gb|AY289094.1|,gi|13272738|gb|AF346976.1|,0.003572536
6,8,gi|32348589|gb|AY289094.1|,gi|13272878|gb|AF346986.1|,0.004910984
6,9,gi|32348589|gb|AY289094.1|,gi|48596203|gb|AY195783.2|,0.004971644
6,10,gi|32348589|gb|AY289094.1|,gi|13273270|gb|AF347014.1|,0.002965583
6,11,gi|32348589|gb|AY289094.1|,gi|13273074|gb|AF347000.1|,0.003086286
6,12,gi|32348589|gb|AY289094.1|,gi|253947317|emb|FM865409.1|,0.012270573
6,13,gi|32348589|gb|AY289094.1|,gi|643679|dbj|D38113.1|CHPMTB,0.084436529
7,8,gi|13272738|gb|AF346976.1|,gi|13272878|gb|AF346986.1|,0.004546061
7,9,gi|13272738|gb|AF346976.1|,gi|48596203|gb|AY195783.2|,0.004606695
7,10,gi|13272738|gb|AF346976.1|,gi|13273270|gb|AF347014.1|,0.003330318
7,12,gi|13272738|gb|AF346976.1|,gi|253947317|emb|FM865409.1|,0.011901912
7,13,gi|13272738|gb|AF346976.1|,gi|643679|dbj|D38113.1|CHPMTB,0.084304105
8,9,gi|13272878|gb|AF346986.1|,gi|48596203|gb|AY195783.2|,0.000422683
8,10,gi|13272878|gb|AF346986.1|,gi|13273270|gb|AF347014.1|,0.004851488
8,11,gi|13272878|gb|AF346986.1|,gi|13273074|gb|AF347000.1|,0.00521603
8,12,gi|13272878|gb|AF346986.1|,gi|253947317|emb|FM865409.1|,0.012088094
8,13,gi|13272878|gb|AF346986.1|,gi|643679|dbj|D38113.1|CHPMTB,0.085527173
9,10,gi|48596203|gb|AY195783.2|,gi|13273270|gb|AF347014.1|,0.00503405
9,11,gi|48596203|gb|AY195783.2|,gi|13273074|gb|AF347000.1|,0.005276712
9,12,gi|48596203|gb|AY195783.2|,gi|253947317|emb|FM865409.1|,0.012149212
9,13,gi|48596203|gb|AY195783.2|,gi|643679|dbj|D38113.1|CHPMTB,0.085458477
10,11,gi|13273270|gb|AF347014.1|,gi|13273074|gb|AF347000.1|,0.003026471
10,12,gi|13273270|gb|AF347014.1|,gi|253947317|emb|FM865409.1|,0.011718129
10,13,gi|13273270|gb|AF347014.1|,gi|643679|dbj|D38113.1|CHPMTB,0.085119845
11,12,gi|13273074|gb|AF347000.1|,gi|253947317|emb|FM865409.1|,0.012333131
11,13,gi|13273074|gb|AF347000.1|,gi|643679|dbj|D38113.1|CHPMTB,0.085040461
12,13,gi|253947317|emb|FM865409.1|,gi|643679|dbj|D38113.1|CHPMTB,0.083618479
